"","x"
"1668",1
"247",1
"1414",3
"963",1
"1976",2
"2267",1
"1792",1
"347",2
"2275",1
"1120",1
"326",1
"1685",1
"1827",1
"919",1
"275",1
"1034",1
"940",1
"512",1
"249",2
"545",3
"698",1
"141",4
"2080",1
"294",1
"439",1
"390",1
"332",4
"1260",1
"1510",1
"960",1
"1394",1
"1336",2
"1901",1
"741",1
"370",1
"2014",2
"1931",1
"2368",4
"1288",1
"1750",1
"1732",1
"2296",1
"6",1
"2237",1
"640",4
"1323",2
"508",1
"106",1
"502",2
"2041",2
"1176",2
"1736",3
"1307",1
"1158",1
"1722",4
"950",4
"244",1
"670",1
"2243",3
"1241",1
"418",1
"1080",1
"1488",1
"976",4
"1660",1
"1040",1
"2152",1
"2018",2
"2063",1
"1300",4
"1764",2
"1410",1
"25",1
"1463",1
"2223",1
"1213",2
"1020",1
"1627",1
"1563",1
"1769",1
"1969",1
"581",1
"1799",1
"1346",1
"1569",1
"1159",1
"231",1
"713",1
"869",1
"2044",1
"1726",1
"973",1
"1850",1
"922",1
"2092",1
"1871",2
"1059",1
"1609",1
"2239",1
"761",1
"432",1
"2277",4
"1274",1
"108",2
"1757",1
"1915",3
"864",1
"2395",1
"2034",1
"1415",1
"117",1
"2257",1
"2185",1
"1927",1
"1301",4
"1224",1
"2352",1
"170",1
"2212",1
"860",4
"1923",1
"351",1
"1626",1
"1173",3
"494",2
"1121",1
"668",1
"1749",5
"890",4
"529",1
"329",1
"1494",1
"546",3
"2370",1
"2279",3
"1935",5
"764",3
"1045",1
"1681",1
"317",1
"762",3
"1919",1
"118",3
"179",2
"2226",1
"1266",4
"2166",1
"2011",1
"1894",2
"1866",3
"276",1
"2129",1
"1997",1
"735",1
"1538",1
"51",1
"2097",1
"177",5
"739",1
"601",2
"810",1
"2064",2
"1942",1
"154",1
"2204",3
"124",1
"1724",1
"1332",4
"1070",3
"422",1
"2295",1
"1209",1
"1281",1
"1537",1
"1781",1
"1383",2
"2173",1
"60",1
"2068",1
"2206",1
"1285",1
"17",1
"1760",4
"2359",1
"614",1
"1767",1
"1913",1
"1637",3
"337",1
"648",1
"1454",1
"116",1
"1137",1
"1469",3
"606",3
"1339",1
"553",2
"1920",1
"956",1
"1037",1
"211",2
"1944",1
"541",4
"1151",3
"769",1
"474",2
"2199",1
"234",1
"224",2
"801",1
"2124",3
"1631",2
"52",1
"400",1
"1310",1
"1717",3
"1056",1
"631",1
"2380",1
"1752",1
"1453",1
"140",3
"527",1
"1856",1
"1250",4
"542",1
"350",2
"89",5
"2391",2
"1079",1
"531",3
"1811",1
"1400",4
"373",1
"952",3
"7",3
"2318",1
"1497",5
"405",1
"889",1
"909",4
"1225",2
"2172",1
"2300",1
"2113",1
"1549",5
"498",1
"2039",4
"1197",1
"149",1
"2",1
"1690",1
"840",3
"2107",3
"2122",1
"126",1
"2162",1
"1693",1
"1313",2
"2222",2
"517",3
"703",4
"885",2
"1822",1
"22",1
"40",1
"1506",1
"1005",1
"1437",2
"2096",1
"1661",3
"365",1
"176",2
"2005",1
"367",4
"2016",1
"2121",1
"718",1
"1635",4
"1579",1
"817",1
"1851",2
"2301",1
"1168",5
"918",2
"2194",1
"1492",1
"1729",1
"1840",1
"1567",1
"783",1
"874",1
"1",4
"210",3
"319",3
"730",1
"419",2
"2328",1
"936",1
"2325",2
"1053",5
"2118",4
"583",2
"1282",1
"1899",1
"1270",1
"934",1
"848",1
"1962",1
"876",1
"362",1
"955",1
"2136",3
"1335",1
"39",1
"2021",1
"2036",1
"1787",1
