q24r1,avg_q24r2r3,avg_q25r1r2r3,q26r3,q26r4,q26r5,X,clusterresults.cluster,numdata$q1
4,2,3.666666667,3,4,4,1300,3,4
3,2,3.333333333,3,5,4,1764,3,4
5,2,2,3,5,5,1410,3,6
2,2,1.666666667,1,5,5,25,3,10
5,1.5,1.666666667,1,6,4,1463,1,3
1,1,1,1,1,1,2223,2,5
6,4.5,3,2,2,4,1213,1,10
3,2,2.333333333,2,2,2,1020,2,5
2,1,2.666666667,1,3,3,1627,2,4
4,2.5,2.666666667,1,3,3,1563,1,3
4,1,3,2,1,2,1769,1,6
2,1,2,1,5,5,1969,3,6
2,1.5,2,3,2,2,581,2,2
4,1.5,2.666666667,3,5,3,1799,3,7
3,3,1.666666667,3,3,3,1346,3,6
3,1,1.666666667,4,3,5,1569,3,1
3,1,2.333333333,1,5,6,1159,3,2
1,1,1.333333333,2,2,1,231,2,3
3,1,1,1,1,1,713,2,2
4,1,1,3,1,1,869,2,3
3,3,2.333333333,2,1,4,2044,2,7
6,2,3,3,3,3,1726,1,2
1,1,1,1,2,4,973,2,3
3,2,3.333333333,3,3,2,1850,3,6
2,1.5,3,2,2,2,922,2,9
3,2,2.333333333,3,5,5,2092,3,10
3,3,3.333333333,3,5,4,1871,3,6
2,2,3.666666667,3,3,3,1059,3,5
4,1,1.333333333,3,3,3,1609,1,1
2,2,2,1,2,4,2239,2,6
5,1,2.333333333,1,3,3,761,1,4
2,2,2.333333333,1,3,3,432,2,5
5,3,2.666666667,2,2,3,2277,1,3
3,1.5,2.666666667,1,1,3,1274,2,3
2,4,4,3,4,3,108,3,7
6,1,2.333333333,3,3,3,1757,1,11
2,1.5,2,2,2,2,1915,2,6
5,2,2,1,2,2,864,1,2
3,1.5,1.666666667,1,3,2,2395,2,2
3,1,2,2,3,2,2034,2,10
6,1.5,2,1,2,3,1415,1,2
4,1,1,1,1,1,117,2,2
3,2,2.666666667,3,3,2,2257,2,7
3,2.5,1,3,6,3,2185,3,2
3,1.5,2.333333333,2,5,5,1927,3,5
4,4,1,2,2,2,1301,1,3
3,1,2.333333333,1,4,4,1224,3,6
3,2,2,3,3,3,2352,3,2
1,2.5,1.333333333,2,2,1,170,2,4
3,1.5,2.666666667,2,3,3,2212,2,3
5,2.5,3.333333333,1,5,6,860,3,2
4,3,2.333333333,3,6,5,1923,3,2
1,1,1.333333333,1,1,1,351,2,10
1,1,3.333333333,1,3,2,1626,2,7
2,2,2,2,2,2,1173,2,2
3,2.5,3,3,3,3,494,3,2
4,1,2.333333333,1,2,1,1121,2,2
1,1,2.333333333,3,3,2,668,2,5
1,1.5,2.333333333,3,6,1,1749,3,2
6,1.5,3,1,2,6,890,1,9
1,2,2,3,1,2,529,2,2
5,1,1,4,3,4,329,1,4
5,1,2,6,1,2,1494,1,4
3,2,2.333333333,4,2,2,546,2,2
3,2,1.333333333,1,1,1,2370,2,2
4,4,2.666666667,1,4,3,2279,3,4
1,1.5,4,2,4,3,1935,3,2
2,2.5,2.333333333,2,2,3,764,2,9
3,2,3,1,3,1,1045,2,2
2,1.5,2.666666667,3,4,4,1681,3,6
2,3,2.666666667,2,3,3,317,2,2
2,3.5,3,6,5,6,762,3,7
4,1,3,2,3,4,1919,1,5
3,2,2,2,2,2,118,2,4
4,2.5,3.666666667,4,3,3,179,3,3
1,1,1,1,1,1,2226,2,3
5,1.5,3.333333333,3,4,4,1266,1,8
2,1.5,2.333333333,2,3,1,2166,2,3
6,1,1,1,1,3,2011,1,11
3,4.5,3.666666667,1,4,5,1894,3,9
4,4,1.333333333,1,3,5,1866,1,7
3,1,2,3,4,3,276,3,2
2,2.5,2,3,3,4,2129,3,5
6,1.5,3,4,5,3,1997,1,5
2,2.5,1.666666667,1,1,1,735,2,2
5,1.5,1.333333333,4,4,5,1538,3,5
1,1,1,1,1,1,51,2,1
1,1.5,1,1,2,2,2097,2,2
1,1.5,4.666666667,1,6,1,177,3,3
2,2,1.666666667,4,4,2,739,3,2
3,2.5,3.666666667,2,2,3,601,2,2
3,1.5,2.333333333,2,4,2,810,2,6
2,2.5,3,3,3,3,2064,3,3
5,3.5,3.666666667,2,2,5,1942,1,2
3,3,1.333333333,2,3,3,154,2,2
2,3,2.333333333,1,1,1,2204,2,2
3,2.5,1.666666667,2,3,3,124,2,2
1,2,1,3,6,5,1724,3,2
4,2.5,3.333333333,5,4,2,1332,3,6
2,1.5,2,2,2,2,1070,2,6
1,1,3,1,2,4,422,2,6
3,1,2.666666667,1,3,4,2295,1,5
6,1,1,3,3,3,1209,1,3
3,1.5,1.333333333,2,3,4,1281,3,4
4,1,2.666666667,3,4,4,1537,3,8
3,1,1.333333333,3,2,5,1781,3,3
2,2.5,4.666666667,1,1,1,1383,2,6
1,2,1.666666667,1,2,2,2173,2,4
4,1,1.333333333,1,3,2,60,1,5
2,2,2.333333333,2,4,3,2068,3,3
1,1,2.666666667,2,5,3,2206,3,4
3,1.5,2.333333333,1,2,5,1285,1,2
5,1,2.666666667,1,3,4,17,1,2
4,2.5,3,3,5,5,1760,3,7
3,1,1,1,3,1,2359,2,2
3,3,1.333333333,3,4,3,614,3,5
5,2.5,4,2,3,4,1767,1,6
4,2.5,2.333333333,4,5,2,1913,3,2
5,3,2.666666667,2,5,2,1637,1,5
3,1.5,1.333333333,3,1,2,337,2,4
2,1,3.333333333,2,3,3,648,2,3
5,1.5,2,1,3,3,1454,1,2
3,1,2,5,5,5,116,3,6
6,2,2.333333333,1,2,2,1137,1,2
1,2.5,2.333333333,3,3,3,1469,2,9
1,5.5,3,1,3,5,606,3,3
6,1,1.666666667,3,6,5,1339,3,1
3,2,3.333333333,2,4,4,553,3,6
3,2,3,3,2,5,1920,3,4
2,2,1.333333333,1,1,1,956,2,2
2,2,2,2,2,6,1037,3,2
4,2.5,2.666666667,4,3,4,211,3,7
3,1,2,2,3,4,1944,3,6
5,1.5,3,3,5,4,541,3,4
1,3.5,2,1,1,2,1151,2,6
1,1,2,3,3,4,769,2,9
3,4,3.666666667,3,3,3,474,3,5
3,2,2,2,1,2,2199,2,4
3,2,3.333333333,3,3,3,234,3,5
1,3.5,3.333333333,2,5,3,224,3,4
1,1,1,1,1,1,801,2,4
2,3,2.666666667,3,3,2,2124,2,4
6,4,3.666666667,4,4,4,1631,3,8
5,2,2,3,3,3,52,1,6
3,1,1,3,2,2,400,2,2
6,1,1.333333333,1,1,3,1310,1,3
3,4.5,3,2,3,2,1717,3,5
5,1,1.333333333,1,2,2,1056,1,8
4,1.5,2.666666667,2,3,3,631,1,7
1,1.5,1.666666667,1,3,2,2380,2,4
3,1.5,2.333333333,3,3,2,1752,2,4
4,2.5,3,2,3,3,1453,1,5
1,3,2.666666667,2,4,4,140,3,7
4,1.5,3,1,2,2,527,1,5
4,3.5,2.333333333,2,2,4,1856,1,6
4,5,3.666666667,3,5,3,1250,3,8
3,2,1.333333333,1,1,3,542,2,2
4,4.5,4,2,3,4,350,3,8
2,1.5,3.666666667,3,4,1,89,2,5
5,5,5,5,5,5,2391,3,2
5,1.5,1.333333333,2,5,6,1079,3,6
2,4,2.333333333,1,3,5,531,3,7
2,1.5,1,5,5,4,1811,3,5
5,2.5,3,3,4,4,1400,3,6
1,1,2.666666667,3,4,3,373,3,4
1,3.5,3.333333333,1,2,4,952,2,3
6,3.5,1.666666667,5,5,3,7,3,9
3,2,1.333333333,2,3,1,2318,2,3
2,2,2.666666667,1,2,1,1497,2,3
2,1.5,1.666666667,2,2,2,405,2,2
4,2,2.333333333,2,6,4,889,3,7
5,1,4,3,6,6,909,3,9
2,3,3.333333333,5,2,4,1225,3,3
2,2,1.333333333,2,1,1,2172,2,2
2,1,1.666666667,1,2,2,2300,2,3
3,2,3,4,4,5,2113,3,4
2,1,4.666666667,2,5,4,1549,3,5
2,1,2.666666667,2,5,4,498,3,3
6,3.5,1.666666667,1,1,1,2039,1,5
5,1.5,1.666666667,1,4,3,1197,1,2
4,1,2.333333333,1,2,3,149,1,5
1,1.5,1.333333333,2,2,2,2,2,5
4,1.5,3.333333333,2,3,2,1690,1,1
5,3.5,1.666666667,3,3,4,840,1,2
5,3.5,2.333333333,1,4,2,2107,1,5
6,2,1.333333333,1,1,1,2122,1,4
6,1,1,1,1,1,126,1,5
1,1,1,5,4,2,2162,2,8
3,1,2.333333333,6,5,5,1693,3,2
5,4,4.333333333,3,6,6,1313,3,9
3,3,3,2,4,5,2222,3,5
2,4.5,2.666666667,4,4,3,517,3,3
3,2,4,4,3,5,703,3,2
1,3,3,1,6,4,885,3,6
5,1.5,3,2,2,2,1822,1,4
6,1,2,1,3,4,22,1,9
2,2.5,2.333333333,2,3,2,40,2,4
1,1.5,1,2,1,3,1506,2,3
5,1.5,1.333333333,2,4,3,1005,1,3
3,2,3.333333333,4,4,5,1437,3,6
2,2.5,2.333333333,3,3,4,2096,3,9
6,3,3,1,4,4,1661,1,3
1,1,1,1,1,1,365,2,1
4,3.5,2.666666667,2,5,2,176,3,11
3,2,2.666666667,2,3,3,2005,3,1
5,1.5,4,1,4,3,367,1,2
5,2.5,2,3,3,4,2016,1,1
1,1,1,1,1,1,2121,2,4
3,1,1,1,2,2,718,2,4
4,4,3.666666667,4,5,4,1635,3,8
2,2,1,1,4,4,1579,2,3
3,1.5,1,1,5,1,817,2,4
3,3.5,3,1,3,4,1851,3,9
4,1.5,2.666666667,1,2,4,2301,1,4
1,1,5.333333333,1,6,1,1168,3,7
4,2,4.333333333,3,3,3,918,3,2
2,1.5,2.333333333,2,3,2,2194,2,6
6,1.5,2,4,3,6,1492,1,4
5,1,1,3,4,3,1729,1,2
3,2.5,1.666666667,2,1,3,1840,2,3
2,2,2,3,4,3,1567,3,6
3,3,2.666666667,3,3,3,783,3,6
1,1,1,1,1,1,874,2,3
5,3,4.666666667,2,3,3,1,1,10
3,3.5,2.333333333,1,1,1,210,2,8
2,4.5,2.333333333,1,3,4,319,3,4
1,2.5,2.333333333,3,4,3,730,3,2
6,4,4,1,6,3,419,1,10
4,1.5,1.666666667,2,3,5,2328,1,2
2,1,3.666666667,4,3,3,936,3,5
3,2.5,3.666666667,2,4,3,2325,3,5
1,1,3,1,1,1,1053,2,8
4,1,3,4,2,1,2118,1,2
2,2.5,3,3,3,3,583,3,7
3,1,1.333333333,1,2,3,1282,2,4
3,2,2.666666667,3,3,4,1899,3,4
4,1,1,1,6,4,1270,3,4
2,2,3,3,1,1,934,2,3
3,1,3.333333333,1,1,3,848,2,7
1,2.5,3.333333333,3,2,2,1962,2,7
1,1,3.333333333,1,2,1,876,2,8
2,1.5,1.333333333,2,1,5,362,2,2
3,1.5,2,2,3,3,955,2,2
1,2,2.333333333,2,2,1,2136,2,2
3,1,2.666666667,1,4,3,1335,1,5
3,1,3.333333333,2,3,3,39,2,7
1,1,3.333333333,2,2,4,2021,2,6
2,1,3.333333333,3,4,2,2036,3,6
1,1,1,1,1,1,1787,2,3
3,2.5,1,1,1,1,78,2,3
4,1,2.333333333,2,3,3,1550,1,3
6,1,1,3,2,6,2213,1,2
2,4,1,1,2,6,1765,3,5
2,1,3,3,2,4,143,2,4
3,3,3,3,3,3,644,3,1
1,1,1,1,6,1,1502,2,1
4,1,1.666666667,1,4,4,1619,1,4
1,1,3.333333333,5,3,3,1462,3,6
1,3,2.666666667,4,4,3,920,3,5
6,2.5,2.666666667,2,3,3,1984,1,8
4,2,2.666666667,5,5,5,1392,3,10
5,1.5,2.333333333,1,4,4,1499,1,4
4,1,3.666666667,1,6,3,1795,3,7
1,2,1.333333333,3,2,1,443,2,2
3,1,1.333333333,1,2,4,1457,2,6
4,1,2.333333333,2,4,3,187,1,8
4,3,3,4,4,3,344,3,5
5,2,3.666666667,2,2,2,722,1,3
2,1,2,2,1,2,223,2,8
2,1,3.333333333,2,2,2,1010,2,3
1,3.5,2,1,1,4,1366,2,4
1,2.5,2,2,2,3,2100,2,3
3,1,4,2,5,1,128,3,3
3,4.5,2.333333333,3,2,1,972,2,2
4,1,1.333333333,1,3,2,1326,1,4
4,2.5,2,2,3,2,984,1,3
3,1,2.666666667,3,1,3,1381,2,4
4,1,1,1,1,1,1666,2,10
3,1,3.333333333,1,2,2,58,2,2
6,2.5,3.333333333,1,2,4,1776,1,11
1,1.5,1.333333333,3,2,3,2157,2,3
3,3.5,4,3,3,5,1614,3,8
3,2.5,1.666666667,1,4,6,843,3,2
5,2.5,1.666666667,2,1,3,1256,1,3
4,3.5,2,3,4,4,1742,3,7
6,1.5,2.333333333,1,3,3,879,1,2
3,2,2,2,5,3,2012,3,6
4,3,3,4,4,4,2171,3,8
5,2.5,4.666666667,2,4,3,795,1,8
4,1,3,1,5,4,1632,3,6
4,2,2,1,3,2,985,1,5
4,3,4,2,3,1,1150,1,7
1,1.5,2.666666667,3,3,5,1460,3,2
5,1.5,2.666666667,3,3,4,845,1,7
1,1,1.333333333,4,4,4,260,3,2
3,4.5,1,6,4,6,1587,3,3
2,1.5,2,1,1,1,832,2,3
2,1.5,1.666666667,1,1,1,882,2,9
6,1,1,2,3,6,2385,1,4
3,2.5,2.333333333,5,3,4,958,3,4
3,3.5,1.333333333,1,3,5,213,3,7
1,1,2,1,1,2,322,2,5
5,3,3,3,5,3,873,3,8
2,2.5,2,4,3,3,1198,3,2
1,5,2.333333333,1,5,5,1072,3,2
6,4,3.333333333,2,4,3,2363,1,5
1,1,2.666666667,3,2,3,1277,2,6
4,1,2,3,3,5,2210,3,3
5,1,1.333333333,2,4,2,476,1,3
4,4,2.666666667,3,4,4,137,3,6
2,3.5,1.666666667,6,2,6,1147,3,3
2,1.5,3,2,5,2,1578,3,6
2,2,2,3,3,3,2238,2,3
5,2,2,2,4,3,1391,1,6
3,3,3,3,4,3,2266,3,3
2,2.5,2,2,1,3,948,2,2
3,2,1.666666667,2,2,2,2247,2,3
5,2,2.666666667,2,5,4,1892,3,8
1,1,1,1,1,1,987,2,8
4,1,2,1,3,3,2017,1,5
1,1,1,2,1,1,1505,2,2
3,4.5,2.333333333,3,3,4,1555,3,7
5,3,1.666666667,1,1,4,1934,1,4
5,1,1.333333333,1,2,2,2228,1,2
6,3,2,1,5,4,380,1,2
1,2.5,2.333333333,1,3,3,1940,2,7
5,2.5,3,3,5,4,1790,3,2
6,1,1,2,1,3,1939,1,5
5,1,2.333333333,1,3,3,1039,1,5
3,2,3.333333333,5,2,4,745,3,3
3,1.5,4,2,3,3,1134,3,2
4,2,4,2,5,3,122,3,3
1,1.5,1.333333333,2,2,2,2184,2,3
2,1,2.333333333,1,4,3,1385,2,8
4,3.5,3,3,4,3,1128,3,5
4,1.5,1,4,4,4,1775,3,3
3,1,2.666666667,2,3,4,1089,3,4
5,1.5,2,1,3,2,194,1,8
3,3,4,2,3,4,220,3,8
1,2.5,2.333333333,3,3,3,1429,2,8
4,1.5,3,3,3,4,1848,3,5
3,1,2,3,5,3,1683,3,6
3,2,3,2,3,3,328,3,4
2,1,2,3,1,2,2292,2,3
6,3.5,1,1,1,1,691,1,2
6,1,2,2,1,3,932,1,7
5,2,2.333333333,1,4,3,1376,1,3
3,2.5,2.666666667,3,5,3,1148,3,8
3,2,1.333333333,2,4,3,1451,3,3
4,3,3.333333333,3,3,4,1181,3,9
2,2.5,2.666666667,1,2,3,727,2,2
1,1,1.666666667,1,2,2,630,2,2
3,2,2,2,3,4,56,3,5
5,1,1.333333333,1,5,4,1427,1,4
5,1,4,1,4,4,1925,1,7
3,1,1,1,5,2,507,2,10
4,2,2,1,6,3,1484,3,1
3,1,2.333333333,3,4,2,1535,3,5
1,1.5,1.666666667,1,1,5,48,2,2
1,1,1,1,1,1,1055,2,2
4,3,2.666666667,3,1,4,1183,1,2
1,2,2,3,2,2,461,2,3
2,2,2.333333333,1,1,3,2168,2,3
2,2,2.666666667,2,3,2,2274,2,6
1,2,3,1,6,3,241,3,8
4,2.5,3,5,6,5,1748,3,9
1,1,2.666666667,3,3,3,854,2,2
6,2.5,3.333333333,4,5,5,1667,3,11
1,2.5,3,1,1,1,397,2,8
1,2,1.666666667,2,3,3,100,2,2
3,1.5,3,4,4,4,1938,3,5
4,1,1.333333333,2,3,1,897,1,2
3,1,3.666666667,6,2,3,990,3,1
3,1,2.666666667,2,4,3,558,3,3
1,1.5,3,2,1,1,92,2,5
4,1,1.666666667,1,4,1,1508,1,7
1,4.5,4.333333333,2,6,6,394,3,11
3,4,3,4,4,2,699,3,2
2,1,3.666666667,3,3,3,811,3,8
3,2,2.333333333,3,2,4,301,3,5
5,1,1,2,1,4,2167,1,4
5,1,4.333333333,1,6,2,401,1,3
4,1,2.666666667,2,2,5,1093,1,2
5,2.5,1,2,3,4,1903,1,2
4,3.5,3.333333333,3,4,4,446,3,2
2,4,3,3,3,3,178,3,2
4,5,1,3,6,6,1682,3,8
1,1,2,2,2,4,2362,2,3
1,2.5,2.333333333,1,4,3,868,2,6
2,2,3.333333333,3,3,3,716,3,2
5,1,3.666666667,3,2,3,1967,1,3
3,1.5,1.666666667,2,2,2,299,2,2
4,2,2,1,3,4,1800,1,3
1,1,1,1,1,1,982,2,4
5,2.5,3.333333333,3,3,5,1999,3,9
3,1.5,2,3,3,2,375,2,2
3,1.5,1.333333333,1,2,3,1195,2,2
4,2,2,2,3,2,572,1,3
5,5,5,5,5,5,858,3,1
6,1,2.333333333,6,6,3,820,3,2
1,2,3,1,3,5,1187,3,2
2,2,1.666666667,2,2,4,57,2,1
3,1,2,1,2,2,578,2,2
4,4.5,2,5,5,5,1251,3,2
1,1,1,1,1,1,655,2,2
4,2.5,1.666666667,3,4,3,911,3,7
1,3,1.666666667,1,1,6,1620,2,4
1,1,3,3,3,6,1276,3,3
2,2.5,3,3,4,4,85,3,4
5,2.5,2,1,6,4,835,3,8
5,3.5,2.666666667,3,3,4,1841,1,5
3,2.5,3,3,4,4,939,3,6
3,1.5,3.666666667,3,3,3,1766,3,1
1,1,1,1,6,5,1206,3,3
2,2,2.666666667,2,4,3,2148,3,5
1,1,1,1,1,1,674,2,2
3,2.5,2.666666667,2,1,3,577,2,6
5,1.5,3,3,2,2,485,1,3
5,1,2.666666667,1,2,3,186,1,8
5,1,1.333333333,1,3,5,2111,1,2
6,3,3.666666667,4,5,4,1651,3,1
6,1,2.333333333,2,1,1,1554,1,5
1,1,2.333333333,2,3,4,2088,2,3
2,3.5,2,2,3,2,173,2,8
1,1,2.666666667,1,2,1,2379,2,2
5,1,1.333333333,4,5,4,1565,3,6
4,1,1.666666667,1,3,3,1638,1,2
6,6,6,3,2,5,132,3,2
3,1,1.333333333,1,3,1,160,2,8
1,1,1,1,1,1,2154,2,4
3,3,3,3,3,3,696,3,2
1,1,2.333333333,2,2,3,1131,2,6
3,2,2,2,5,5,2082,3,4
4,1,1,1,1,2,1745,2,4
1,1.5,2,1,3,2,1029,2,2
1,1,1,1,6,4,899,3,2
2,1.5,3,1,4,2,459,2,2
3,1.5,1.666666667,1,1,2,2299,2,3
5,1,2,5,5,5,1629,3,8
4,4.5,3.666666667,4,4,3,41,3,11
3,1,1,2,2,4,1192,2,3
1,3,2.666666667,2,2,3,441,2,2
4,1,3.666666667,2,2,3,2396,1,2
2,2.5,3.333333333,1,3,3,580,2,7
4,1,2.666666667,3,3,2,2218,1,2
1,2,1.666666667,6,5,6,1679,3,7
3,3,2.666666667,2,3,2,994,2,7
4,3,1.333333333,2,3,3,2087,1,8
5,1,3.333333333,2,3,3,894,1,5
3,4,2.333333333,4,3,1,815,3,4
3,1,1,1,1,1,807,2,6
3,2,2,1,4,2,451,2,3
3,2,2,2,4,2,1194,2,4
3,2,1,1,1,1,1634,2,2
4,2,2.666666667,2,4,3,2055,1,10
2,1,1.333333333,2,1,2,2133,2,5
4,2,2.333333333,1,2,3,1258,1,4
2,1.5,1,1,2,2,104,2,2
5,1.5,4.666666667,2,4,3,1654,1,4
3,1.5,2,1,4,3,206,1,9
5,1,2.333333333,2,2,5,1971,1,6
5,3,2,1,4,4,942,1,9
6,2.5,3.333333333,2,5,4,1789,1,8
3,1.5,4,3,3,4,2216,3,7
2,2,3,3,3,3,226,3,2
5,1,3.666666667,5,1,4,200,1,11
3,3,1,1,5,1,232,2,2
4,1.5,3.333333333,1,5,3,803,3,5
5,2.5,2.333333333,3,3,2,192,1,6
1,1,2,1,1,1,2215,2,2
4,2.5,3,2,3,3,557,1,4
3,3,2.333333333,2,3,2,11,2,10
5,1,2.333333333,4,5,3,1708,3,6
3,3,3,3,3,3,981,3,7
1,1,2,2,3,4,289,2,3
1,1,2.333333333,1,1,1,1639,2,4
3,1,1,1,4,1,793,2,2
3,3,4,1,5,4,2061,3,8
3,2,1.666666667,1,1,2,2250,2,3
6,2.5,3.666666667,3,5,2,602,1,3
1,1,1,1,1,1,1125,2,4
2,1.5,1.333333333,3,1,1,734,2,6
5,1,1.333333333,2,1,1,2253,1,3
2,2,2,2,2,3,157,2,3
4,2,3.333333333,2,3,2,1141,1,3
4,3,3,2,3,4,1014,3,5
6,4,3.333333333,4,2,4,1179,1,2
1,1,1,1,1,2,406,2,6
5,2,2.333333333,2,3,5,1521,1,6
4,2.5,3.333333333,2,4,4,1424,3,6
2,2,3.666666667,1,6,3,2207,3,3
3,1,1.333333333,2,1,3,516,2,2
5,2.5,3.666666667,4,6,3,1157,3,3
2,2.5,3.666666667,2,3,3,1770,3,4
1,2,2.666666667,1,5,2,1710,2,6
5,2.5,3,1,5,4,1472,1,7
5,2.5,4,1,4,3,3,1,7
6,3,1.666666667,2,2,4,1618,1,6
1,1.5,1.666666667,3,2,3,1716,2,7
2,2,2.333333333,2,3,2,2049,2,4
4,1,2,1,4,3,1994,1,2
2,2,3,1,1,3,2306,2,5
3,2,1.666666667,3,3,3,1447,3,8
1,2.5,2.666666667,2,5,5,64,3,7
1,1,1.666666667,1,1,4,1602,2,8
4,1,1,2,4,3,1574,1,4
2,1,2,2,6,3,1992,3,4
3,3,3,3,3,3,779,3,7
3,2,1.666666667,3,3,3,1839,3,9
2,1,2,1,1,2,4,2,7
1,1.5,1.666666667,2,3,3,218,2,5
1,1,1,1,1,1,2388,2,2
1,2,1,1,1,2,484,2,2
6,1,2,1,6,5,454,1,4
5,5.5,3.666666667,2,6,3,1604,3,6
4,3,1,1,2,4,857,1,4
4,1,1,2,3,3,2026,1,5
4,1,4,1,2,3,1356,1,9
2,1.5,3.333333333,1,3,3,1952,2,2
4,3.5,4.666666667,5,5,5,1077,3,9
6,2,2,3,5,2,1290,1,5
5,2,4.333333333,3,4,4,138,3,8
3,1.5,2.333333333,3,5,3,2098,3,4
3,1.5,2.333333333,3,6,5,827,3,7
3,2.5,1,1,1,1,101,2,2
1,1.5,1.666666667,2,3,6,1858,3,5
5,2.5,1.666666667,3,4,4,1153,1,3
1,3.5,1,6,6,1,1585,3,9
5,3,3.333333333,4,3,4,1189,3,8
4,1.5,1.333333333,3,6,6,1406,3,7
5,1,2.666666667,3,3,4,1949,1,8
2,3,2.666666667,2,3,5,660,3,2
3,4,2,1,3,4,209,3,5
5,2.5,2.333333333,3,4,5,1719,3,7
5,4.5,4.333333333,6,4,1,509,3,2
4,1.5,3,1,6,4,438,3,2
4,2.5,3,2,3,2,584,1,4
2,1,1.666666667,2,2,2,312,2,6
5,1.5,2,1,1,3,2332,1,2
2,2,2,2,2,2,235,2,4
1,2.5,4.666666667,2,4,5,652,3,2
4,1,2,2,1,3,1912,1,2
5,2,1.666666667,5,5,6,1669,3,3
3,2,2.666666667,1,4,3,692,3,2
2,1,1.333333333,5,2,2,2197,2,5
5,2,2,2,2,2,54,1,2
3,1.5,2,4,3,3,1060,3,2
6,2,4,2,6,5,335,3,9
2,1,3.333333333,1,1,2,410,2,7
4,1.5,2,2,3,5,1166,1,10
3,1.5,4,3,3,3,2241,3,9
4,3.5,3.333333333,3,4,4,2340,3,5
3,3,2.333333333,2,1,3,573,2,3
2,1.5,2.333333333,2,2,2,708,2,4
4,1.5,2,2,2,2,152,1,6
6,1,2.666666667,1,5,2,515,1,3
1,1,1,3,2,2,1593,2,6
4,1,3,1,4,2,653,1,7
2,2.5,2.333333333,5,3,6,465,3,2
1,1,1,1,1,1,1205,2,2
5,4,3,5,6,5,1922,3,1
1,1,2,1,3,2,1869,2,2
2,1,2.333333333,1,1,1,2323,2,5
2,2.5,1.333333333,2,2,1,962,2,5
2,1,2.666666667,2,2,4,1334,2,6
6,1,1,5,2,4,846,1,5
5,2.5,3,2,3,4,1232,1,6
5,2.5,2.666666667,1,2,2,667,1,7
2,1.5,1.666666667,2,2,2,2182,2,2
3,3.5,3.666666667,3,4,3,499,3,2
3,1.5,2.666666667,1,1,1,1688,2,2
2,3.5,3.666666667,2,5,4,1675,3,8
1,1,1,2,3,3,1165,2,6
2,1.5,1.333333333,1,2,2,2155,2,4
2,1.5,2.666666667,2,2,2,2010,2,3
3,1.5,2,1,3,3,1514,2,3
2,2,2.666666667,1,4,5,1678,3,4
3,1,3.333333333,1,3,3,1231,2,8
2,1.5,1.333333333,1,1,4,1278,2,7
6,1,1,1,3,3,9,1,6
2,3,3,3,3,4,802,3,3
3,2.5,3,2,2,2,780,2,2
1,1,1,1,1,1,1116,2,3
1,1.5,1,1,2,2,849,2,3
4,2,4,3,5,3,2106,3,2
1,1,1,1,1,1,2367,2,2
4,2.5,2,2,4,5,1644,3,6
3,1,1.666666667,2,2,3,1208,2,3
5,2,2.666666667,2,4,4,195,1,8
6,2,2.666666667,4,2,6,1207,1,2
2,1,4.333333333,2,5,3,1012,3,6
3,3,3.333333333,3,3,3,1175,3,4
6,1,2.333333333,2,6,6,191,3,11
1,1,1.333333333,1,2,1,822,2,9
5,1,1.666666667,2,5,3,80,1,6
3,2,2.333333333,2,3,2,1252,2,8
4,3.5,2.666666667,1,4,1,296,1,9
3,1.5,2.666666667,2,3,5,1534,3,5
2,1,1.666666667,3,3,3,2251,2,3
3,1,2,3,3,2,1272,2,4
4,4,3,2,4,3,372,3,4
2,2,4,3,6,5,1107,3,7
3,2,1.666666667,4,4,3,1797,3,8
3,2,3,2,3,2,264,2,2
4,3,3.333333333,3,4,3,1154,3,4
5,1,1.666666667,1,1,2,785,1,6
1,1,1,5,5,5,1142,3,4
2,1.5,2.333333333,3,4,5,1305,3,5
4,2,2.666666667,3,5,4,1560,3,6
2,2.5,1.666666667,2,2,2,2309,2,3
6,5,1.666666667,1,1,2,669,1,2
1,1.5,2,1,4,1,2283,2,3
4,1,1.666666667,4,3,2,489,1,5
5,1.5,3,2,1,2,1384,1,5
2,3,3.666666667,2,4,4,1713,3,8
1,1,1,1,1,1,637,2,3
1,1,4.666666667,1,6,1,590,3,2
1,2,3,2,4,4,278,3,2
3,4.5,1.333333333,1,6,3,165,3,9
5,3,3,3,4,3,10,1,6
6,1,1,6,1,6,457,1,5
4,2,2.333333333,3,3,3,520,1,2
5,2.5,2.333333333,3,3,3,1924,1,6
4,2.5,3,2,2,2,818,1,2
6,1,4.666666667,4,3,1,238,1,2
3,3,2,2,1,4,618,2,3
3,1,2,1,1,1,1926,2,1
2,2,2.333333333,2,3,1,403,2,2
4,1,2.333333333,1,3,3,1806,1,5
1,1,1,1,3,3,2085,2,2
3,3.5,3.333333333,2,5,3,1810,3,2
3,4.5,3,4,3,4,1859,3,6
3,2,2,2,2,5,466,3,2
1,1.5,3.333333333,1,2,3,760,2,7
4,2.5,3.333333333,2,3,4,1228,3,3
6,4.5,2.666666667,6,5,6,1362,3,1
1,1,1,1,3,3,1995,2,2
1,1.5,1.666666667,4,1,2,490,2,2
5,2,1.333333333,1,2,4,700,1,2
4,2,3.333333333,3,3,2,717,1,6
1,1,1,1,1,1,544,2,6
1,1,2,1,2,4,1255,2,3
6,2.5,3,3,2,5,1303,1,3
2,2,2,2,2,2,2355,2,2
2,1,1.333333333,1,2,2,1215,2,2
5,2.5,3,3,5,3,1831,3,7
