q24r1,avg_q24r2r3,avg_q25r1r2r3,q26r3,q26r4,q26r5,X,clusterresults.cluster,numdata$q1
4,2,2,1,2,3,8,1,11
3,1,1,3,1,3,870,2,4
1,2,2.333333333,1,4,3,114,2,5
5,1,1.333333333,1,2,3,1674,1,4
5,1,1.666666667,1,3,1,1698,1,6
4,1,2.333333333,2,3,2,2040,1,3
2,1.5,1,2,1,1,514,2,3
2,1.5,2,2,3,4,687,2,3
1,3.5,1.333333333,2,5,4,88,3,2
4,1,1,1,1,4,320,1,6
3,2,4.333333333,2,5,5,2125,3,6
1,1,1,1,1,1,1083,2,3
4,1,1.333333333,1,1,1,2095,2,4
5,2,3,3,4,3,1906,1,6
3,2,1.666666667,1,2,1,480,2,2
3,1.5,2.333333333,2,3,1,777,2,4
1,1,2,1,3,2,1143,2,2
3,1,2,1,3,4,135,1,8
2,1.5,2.333333333,1,3,5,641,3,4
2,3,2,3,2,3,505,2,4
5,3,4.333333333,3,5,5,1458,3,8
2,1,2,1,1,3,1088,2,5
4,2,2.666666667,3,4,5,1909,3,3
1,1,1,1,2,2,1353,2,3
6,3.5,3.333333333,2,3,4,364,1,8
2,2,3,1,3,3,1557,2,4
4,2.5,3,2,3,3,2246,1,3
5,1,1,1,5,3,1325,1,9
3,1,1.333333333,3,1,3,1421,2,5
4,3,4,3,2,3,1642,1,7
3,2,3.666666667,2,2,3,2297,2,6
3,3.5,3.333333333,4,1,5,2322,3,2
3,1,1.666666667,1,4,4,1779,3,6
4,1,1,1,1,4,2264,1,5
1,1,1,1,1,1,2312,2,6
1,2,2,3,1,2,2180,2,2
6,4,2,4,4,4,931,3,2
4,1.5,3.333333333,3,4,3,263,3,6
1,3.5,1.333333333,1,5,3,1778,3,2
2,3,3.333333333,2,2,2,35,2,2
1,1.5,1.666666667,1,2,1,887,2,3
4,2,3.333333333,1,3,3,110,1,7
1,1,4,2,6,2,262,3,8
2,2,2,4,3,3,910,3,2
1,1.5,2.333333333,1,2,1,1023,2,2
2,1,4,4,6,2,679,3,2
6,2,3,1,2,5,797,1,4
1,1,2.666666667,1,1,1,2074,2,5
2,2,2.666666667,3,2,3,23,2,3
2,2.5,1.333333333,2,1,3,361,2,6
3,1,3.333333333,2,6,1,2160,3,2
2,1.5,3,1,3,3,565,2,7
4,2.5,2,2,1,1,2386,2,2
1,2.5,1.333333333,2,1,2,1287,2,1
5,1.5,3,3,4,4,2076,1,5
2,3.5,2.666666667,4,2,4,1581,3,11
6,1,1.666666667,3,3,3,1720,1,7
3,1.5,1.333333333,2,3,3,1340,2,6
5,2,2.666666667,3,3,3,1500,1,8
3,1,1.333333333,1,1,1,1476,2,2
4,1,3.333333333,1,3,3,215,1,8
3,1,1,2,1,2,1435,2,5
2,2,1.333333333,2,1,1,2208,2,3
4,3.5,2.666666667,2,4,2,72,1,4
2,1,2,2,5,2,975,2,6
5,3.5,2,2,4,3,763,1,7
1,1,2,1,4,1,1960,2,3
1,4,4.666666667,2,4,2,1171,3,6
4,2.5,2.666666667,3,3,3,2374,1,2
4,1.5,2,5,3,6,1842,3,2
1,1,2.333333333,2,4,4,1785,3,7
5,1.5,2,2,3,3,1700,1,9
3,2,2.333333333,3,2,2,2255,2,5
1,1,1,1,1,3,1529,2,4
5,3.5,1.333333333,2,5,5,2035,3,7
1,1.5,1,2,2,4,771,2,2
3,3,2.666666667,3,3,2,993,3,7
2,5,2.666666667,3,5,5,1571,3,7
4,1,3.666666667,1,3,3,1691,1,8
1,1,1,1,1,1,230,2,2
4,1.5,3,2,5,5,2091,3,9
3,2.5,2.333333333,1,1,3,2360,2,6
5,4,4,3,6,6,2183,3,9
3,2,1,1,1,4,1689,2,4
1,1,1,1,1,5,591,2,2
2,2,2.333333333,2,4,3,1071,3,3
3,3,3,3,2,3,2353,3,3
5,3.5,3,3,4,3,1217,3,9
5,1.5,1.333333333,2,2,3,180,1,6
3,1.5,2,2,3,4,1998,3,4
2,2,2,4,3,4,1613,3,8
4,2,3.333333333,4,3,3,800,3,2
5,3.5,2.666666667,3,3,3,430,1,4
3,2,2,3,3,4,240,3,7
5,3,3.666666667,3,5,3,680,3,3
6,1,3.333333333,1,5,4,15,1,2
5,1.5,3,2,4,3,1589,1,4
6,3.5,3,3,6,5,414,3,10
5,3.5,4,4,2,5,44,3,3
1,1,1,1,3,3,1843,2,7
2,4,3.333333333,1,1,5,355,2,5
2,2,2,2,2,2,214,2,5
6,1,6,6,6,6,243,3,2
6,4.5,3.666666667,5,1,4,267,1,1
3,1.5,3.333333333,2,3,4,2069,3,6
2,1.5,1.666666667,1,2,2,625,2,4
4,1,3.666666667,4,5,4,1829,3,7
3,2.5,2,3,4,4,1450,3,8
2,1,2,1,1,1,714,2,6
2,1,2,1,3,6,1528,3,8
4,2.5,3.666666667,2,4,4,1533,3,9
1,1,2.666666667,2,3,4,1671,2,3
5,1.5,2.333333333,1,2,5,1047,1,8
3,1.5,1,2,3,4,492,1,3
1,1,1,1,1,1,1870,2,7
2,2,2.333333333,1,1,4,1527,2,7
2,3,2.333333333,2,4,2,1418,2,6
2,2,2.333333333,2,3,3,404,2,4
4,2,1,2,4,5,274,3,9
1,1,1,1,1,1,2260,2,2
3,1,2.333333333,1,4,5,1794,3,2
2,1.5,2.333333333,4,2,4,1954,3,2
1,1,3.666666667,4,3,3,1536,3,1
4,1.5,2,1,4,1,1314,1,4
5,1,2.666666667,1,3,5,36,1,5
2,4,2.666666667,2,2,3,1009,2,2
5,3,3,2,5,4,2252,3,3
6,1,3,2,3,2,1545,1,7
3,3,3,3,3,3,1921,3,2
2,1,4,3,2,5,442,3,3
4,1,1,3,2,2,799,1,5
3,2.5,2.666666667,3,3,4,1640,3,8
4,5,3.666666667,1,6,1,2221,3,4
3,1,1,4,5,4,1286,3,6
5,2,2.666666667,3,4,4,1648,1,10
5,1,2,1,3,2,1264,1,3
2,4,2.666666667,3,6,4,1368,3,2
5,1.5,3,2,3,3,1987,1,3
6,1,2,1,1,3,1184,1,3
6,1,1,1,2,3,2081,1,5
1,1,1,1,1,6,411,2,5
6,3.5,2,2,2,3,1122,1,7
1,1,1,1,1,1,1185,2,4
3,1,3.666666667,6,3,3,1684,3,1
4,1.5,2.333333333,2,3,2,1269,1,2
1,1.5,1.666666667,2,2,1,323,2,2
5,5.5,3,6,1,3,1017,3,2
3,2,3,2,3,3,5,3,8
6,1,1,2,2,2,753,1,2
4,3,2.333333333,1,3,3,285,1,4
4,3.5,3,4,4,4,1202,3,2
4,2,3,5,4,3,1951,3,6
3,1,1.333333333,2,5,6,1646,3,3
1,1,1,1,2,3,2022,2,3
2,3,2.333333333,4,3,3,99,3,2
3,1.5,1.333333333,1,2,1,216,2,9
4,1,2.333333333,2,3,4,676,1,7
2,2.5,2.333333333,2,2,1,2366,2,6
4,2,3,4,3,3,196,3,5
4,1,1,2,1,4,282,1,3
1,2,2,2,2,1,725,2,3
5,1,1,4,3,3,182,1,5
1,1,1,1,4,3,1662,2,5
3,4,4.666666667,3,6,5,566,3,8
3,1,2.666666667,3,4,4,2135,3,2
1,1,1.666666667,2,2,2,2151,2,2
4,3,3.333333333,3,4,4,2164,3,2
5,1.5,2.333333333,1,5,3,1970,1,5
2,1,1,2,2,4,711,2,2
5,3.5,4.666666667,5,6,5,393,3,4
5,2.5,5.333333333,4,6,3,570,3,4
2,1,2.333333333,2,2,1,2351,2,2
4,2.5,1.666666667,4,4,5,731,3,5
4,2,1,1,2,2,1344,1,3
4,1.5,1,1,1,1,2065,2,3
1,1,1.333333333,2,1,1,689,2,3
3,2.5,2,3,5,3,1782,3,3
3,3,4,4,4,4,381,3,4
5,1.5,2,1,3,3,201,1,9
4,4.5,5,5,5,5,2375,3,7
5,3,3.333333333,3,1,4,575,1,2
3,4.5,4,3,3,3,905,3,2
4,2.5,2.666666667,3,1,3,2051,1,1
3,2,2.333333333,2,3,3,2232,2,4
3,3,3,6,6,6,1178,3,2
2,2,2.333333333,3,2,2,1028,2,5
3,1.5,1.333333333,1,3,3,1643,2,5
2,1,2,1,3,4,1552,2,3
1,1,1,2,1,1,1076,2,2
3,3,3,3,4,5,1694,3,7
4,3.5,2,3,4,3,18,3,8
3,4,4,3,3,3,1144,3,6
4,1,3,5,5,5,1283,3,9
1,1,1.333333333,1,2,2,538,2,4
1,1,1,1,1,1,937,2,3
4,1,3.333333333,3,2,4,1377,1,3
2,1,2.333333333,1,3,4,93,2,3
1,1,1.666666667,1,1,1,107,2,2
1,1,1,1,1,1,992,2,3
5,2,2.333333333,1,3,4,1347,1,3
2,2,3,2,2,2,2338,2,3
5,1.5,1.666666667,1,1,2,348,1,3
4,4,2.666666667,5,5,5,239,3,3
2,1,2,1,3,1,1180,2,2
1,1,1.666666667,4,1,1,450,2,5
2,2.5,3,3,3,3,1862,3,1
2,1,3.666666667,1,3,3,2086,2,4
5,1,1.666666667,4,2,3,1874,1,3
6,1,2.333333333,2,3,4,290,1,7
2,1,2,2,2,3,2070,2,4
4,2,3.333333333,2,3,3,98,1,8
4,3,1.666666667,4,3,3,1342,3,6
6,3.5,1.666666667,1,1,3,599,1,5
3,1.5,1.666666667,1,2,2,2303,2,4
5,2.5,1.666666667,1,3,3,1814,1,8
4,4,2.333333333,3,5,3,1008,3,2
6,1,1,1,2,2,339,1,2
5,1.5,1.333333333,1,3,5,1704,1,2
5,1,3,3,4,3,1895,1,2
2,1,2,1,3,3,1863,2,5
3,1,2,3,3,4,95,3,2
3,1,1.333333333,3,2,2,859,2,3
1,1,2,1,5,3,313,2,2
1,1,1,1,4,3,1030,2,2
3,2,3,4,2,3,721,3,2
1,1.5,3.666666667,3,4,5,521,3,4
5,1,2,4,4,4,2020,1,3
4,1,2.666666667,1,1,5,1109,1,2
5,1.5,3.333333333,5,3,5,1320,3,6
1,2,1,2,3,3,1981,2,2
5,1,2.333333333,1,2,1,518,1,6
2,3,2,5,5,5,1229,3,2
3,2.5,2.666666667,1,4,2,996,2,6
2,1.5,3.666666667,2,3,3,1319,2,5
1,1,1,3,5,5,1461,3,7
1,1,1,1,1,1,552,2,3
5,1,3,1,6,1,1490,1,8
2,1,1.666666667,2,3,2,1324,2,3
2,3,4.666666667,2,3,3,1265,3,7
4,2,2,3,2,4,2281,1,6
5,2.5,2.333333333,1,2,3,315,1,9
2,1,1,1,2,3,2042,2,4
3,3,3,3,3,3,804,3,6
4,2.5,2,4,4,3,1577,3,9
5,2,2.333333333,4,2,2,436,1,2
3,2.5,2.666666667,3,3,4,2178,3,3
3,2,3.333333333,3,3,5,2075,3,8
6,1,1,1,5,1,1308,1,2
3,1,2,3,5,3,1316,3,1
6,3,6,6,6,6,1946,3,7
6,1.5,1.666666667,1,4,3,349,1,3
6,1,1,3,3,5,1837,1,6
3,1,3.666666667,2,1,1,2285,2,4
5,1,3,1,3,4,841,1,2
4,2.5,1.333333333,2,1,3,1803,1,1
1,1,3.666666667,1,3,2,2265,2,3
3,2,4.666666667,1,4,3,153,3,4
2,4.5,5,4,4,4,772,3,2
5,1.5,2.666666667,1,3,2,268,1,2
3,1,3.666666667,2,5,5,28,3,7
3,1.5,2.333333333,2,1,2,2211,2,3
3,1.5,3,4,3,2,311,3,4
1,1,2,1,1,1,42,2,8
5,3,2.666666667,2,3,4,2008,1,6
3,1,1.333333333,1,1,1,1115,2,2
6,1,3.333333333,1,4,5,1246,1,4
3,3.5,3.666666667,3,4,3,382,3,2
2,1,1,1,1,3,786,2,2
3,3,3,3,3,3,1038,3,2
3,3,3,3,3,3,428,3,2
5,1,1,1,1,1,829,1,3
6,3,1.333333333,2,2,3,1220,1,2
6,3.5,1.666666667,1,2,2,1095,1,4
2,1,2,3,3,2,634,2,3
1,1,1,1,1,2,105,2,5
1,1,1,4,1,3,1036,2,4
1,1,1,3,3,3,45,2,3
1,1,1.333333333,2,1,2,472,2,2
6,6,5.333333333,1,4,6,1370,3,2
3,4,3.333333333,3,3,4,417,3,3
3,1.5,2,2,3,4,1832,3,4
1,1,1.666666667,3,2,2,353,2,6
6,1,1,1,2,1,1744,1,3
2,1,1,1,1,2,941,2,4
3,1,1.666666667,3,2,3,2286,2,5
3,3.5,4,3,4,4,824,3,9
6,1.5,3.333333333,1,5,4,765,1,10
2,1,2.333333333,1,3,3,1791,2,2
1,3.5,2.666666667,3,6,4,1905,3,8
5,2.5,2.333333333,4,6,5,1292,3,11
1,3,2,2,2,2,1170,2,2
6,3,3,1,5,2,1910,1,3
1,1,1,1,1,1,555,2,2
2,2,2,2,2,3,2280,2,3
2,1.5,2,3,3,2,1127,2,2
3,1.5,1,3,4,2,217,2,3
4,2,3,1,2,3,1011,1,5
3,3,3,3,2,3,589,3,6
5,1,2.333333333,5,5,5,1524,3,6
2,3,4,4,5,1,2294,3,2
1,1.5,2.666666667,1,1,1,1261,2,4
6,2,1,1,1,1,385,1,3
5,1,1.666666667,2,3,3,2048,1,6
3,1,1.666666667,1,2,3,1196,2,4
2,2,3.666666667,3,3,3,2126,3,2
6,1.5,2.666666667,2,5,4,833,1,6
1,1,2.333333333,2,3,2,2045,2,6
6,1.5,3.666666667,6,2,6,358,3,1
6,2,2,1,5,4,33,1,4
4,2.5,1.666666667,1,4,2,548,1,3
6,4.5,2.666666667,1,5,3,2094,1,8
5,1.5,2,3,3,5,1828,1,9
1,1,2.333333333,2,3,2,308,2,7
2,2,2,2,2,2,883,2,2
4,1,4,3,3,2,103,1,9
3,1.5,2.666666667,2,3,2,334,2,6
2,1,2,1,2,2,2083,2,4
2,1.5,2.666666667,2,2,2,61,2,2
5,4.5,5.333333333,1,6,3,2060,3,9
5,1.5,2,1,1,5,295,1,4
2,1.5,2.666666667,3,4,3,1062,3,2
2,2,3.333333333,2,6,3,470,3,2
5,2.5,2.666666667,2,2,3,636,1,9
5,1.5,2.333333333,2,2,3,678,1,4
2,3,3.333333333,1,4,2,389,2,2
6,1.5,1,2,4,6,2079,1,4
3,1,3.333333333,2,2,2,1809,2,10
2,1,1.666666667,3,3,6,949,3,3
5,2,2.666666667,1,4,5,562,1,3
3,1,1.666666667,1,1,1,1835,2,6
4,2.5,3,2,4,5,1477,3,4
6,1,1,1,2,3,1518,1,3
2,1,1.333333333,1,2,1,814,2,2
4,3.5,2.333333333,3,5,3,757,3,5
2,3,2.666666667,1,5,3,2056,3,7
3,1,1,1,1,1,1658,2,2
3,1,2.666666667,5,5,5,1953,3,2
2,4.5,2.333333333,3,3,3,1884,3,8
1,2,1,3,3,3,1296,2,6
3,3,3.333333333,3,4,4,684,3,3
2,2,3,3,3,3,593,3,10
3,2,2.666666667,2,4,4,1498,3,5
5,1.5,3.333333333,3,5,5,1439,3,4
5,4,3,3,3,3,87,1,6
2,1.5,2.666666667,1,1,1,2335,2,4
6,3.5,1.666666667,1,3,6,2364,1,2
5,2.5,2.666666667,3,3,3,1140,1,2
2,4.5,2.666666667,1,3,2,388,2,2
4,3,2.333333333,3,5,4,1918,3,7
3,1,2.333333333,3,5,3,377,3,2
4,1.5,2.666666667,1,3,4,463,1,3
5,2,2.333333333,4,5,3,1431,3,6
2,1,1.333333333,1,1,4,1826,2,6
4,3,3,3,4,2,933,3,3
2,2,2.333333333,2,2,1,549,2,4
2,3.5,3,2,6,3,1436,3,8
3,1,3,2,3,5,1417,3,7
3,1.5,1,2,3,2,907,2,2
1,1,2.333333333,1,6,6,1917,3,4
1,4,1,2,3,1,672,2,2
2,2.5,2.333333333,2,6,4,1063,3,2
1,1.5,2,1,3,1,913,2,7
3,3,2,2,2,3,1633,2,9
3,1,1.666666667,1,4,3,1507,2,3
5,3,1.333333333,1,5,1,921,1,2
5,3,2.333333333,4,4,4,1784,3,7
3,2.5,1,4,4,4,707,3,3
1,1,3,1,2,2,1504,2,9
1,1,2,5,3,3,1801,2,5
6,1.5,2,6,6,4,1985,3,3
5,2,2,2,2,3,2000,1,5
5,1,1,2,3,3,478,1,8
4,2.5,2.333333333,4,4,4,1636,3,6
1,2,1,1,1,1,2392,2,2
4,3,2.333333333,4,3,2,1221,3,2
3,2.5,3,2,3,3,750,3,11
5,1.5,2,2,3,5,1411,1,8
6,3.5,3.666666667,4,5,5,1606,3,6
2,2,3,3,5,2,1399,3,10
3,1,2,1,4,1,903,2,4
5,2.5,2.333333333,2,6,6,1015,3,4
4,2,3,4,6,4,1562,3,7
3,2,3.333333333,4,2,4,2389,3,4
5,1.5,4.333333333,3,5,5,1240,3,8
3,1.5,4,1,3,4,425,3,7
2,1.5,2.333333333,4,5,2,302,3,2
6,1.5,2.333333333,2,3,2,2084,1,8
