0.957,1.029,0.811,0.888,1.092,1.388,0.0410851,A
0.044,0.098,0.092,0.241,0.228,1.335,0.244010667,B
0.058,0.023,0.05,0.137,0.108,0.209,0.0046939,C
0.015,0.33,0.064,0.076,0.087,0.019,0.0137427,D
0.045,0.181,0.132,0.319,0.62,1.171,0.178888267,E
0.022,0.031,0.061,0.159,0.135,0.484,0.030063467,F
0.024,0.035,0.012,0.057,0.046,0.009,0.0003619,G
1.267,1.635,0.981,1.15,0.971,1.037,0.0637943,H
0.12,0.25,0.169,0.201,0.27,1.264,0.1909224,I
0.189,1.096,0.889,1.143,0.777,1.248,0.147755867,J
0.034,0.034,0.019,0.098,0.252,1.103,0.179424667,K
0.038,0.071,0.019,0.054,0.079,0.298,0.010545367,L
0.05,0.067,0.022,0.072,0.03,0.436,0.025452967,M
0.051,0.941,0.086,0.077,0.186,0.283,0.115305867,N
0.016,0.053,0.03,0.037,0.137,0.034,0.001910167,O
0.03,0.022,0.05,0.086,0.157,0.623,0.053577467,P
0.016,0.032,0.17,0.092,0.019,0.042,0.003565767,Q
0.042,0.023,0.026,0.294,0.085,0.662,0.064260667,R
0.02,0.027,0.402,0.245,0.058,0.184,0.0227924,S
0.109,0.186,0.183,0.077,0.254,1.297,0.2186828,T
1.091,0.683,0.969,1.133,1.015,0.643,0.043780267,U
0.058,0.022,0.196,0.009,0.026,0.049,0.0047644,V
0.255,0.033,0.193,0.101,0.075,0.144,0.0065983,W
0.021,0.04,0.014,0.005,0.039,0.025,0.0001904,X
0.025,0.133,0.031,0.02,0.209,0.13,0.006041067,Y
0.04,0.132,0.192,0.425,0.133,1.281,0.217258967,Z
4.637,7.207,5.863,7.196,7.088,15.398,,
0.343481481,0.533851852,0.434296296,0.533037037,0.525037037,1.140592593,,
